Id,Label,timeset,elo,bucket,community,indegree,outdegree,Degree
PawnGambit,,,2040,2040,22,1,0,1
MingChang,,,2276.202041,2240,0,24,23,47
seigneur,,,2077.5,2040,1,1,5,6
alejandroo19,,,2186.666667,2160,1,1,2,3
juanze21,,,2020.806452,2000,1,18,13,31
mesi2014,,,2051.285714,2040,2,4,3,7
daunuoc,,,2045,2040,1,1,0,1
attitudal,,,2071.666667,2040,1,2,1,3
suadba,,,2043.5,2040,0,3,1,4
malachi76,,,2090.48,2080,1,12,13,25
xequito,,,2013.5,2000,2,1,1,2
joe59,,,2103,2080,1,1,0,1
alekhin1937,,,2039,2000,1,1,0,1
fdd5544w,,,2055,2040,1,1,0,1
mixx,,,2044.833333,2040,2,4,2,6
chessnightmare,,,2245.179487,2240,0,19,20,39
zorro2014,,,2094.428571,2080,1,7,7,14
Vadim3000,,,2003,2000,1,1,0,1
topazxan,,,2019,2000,2,1,1,2
zdenek,,,2099,2080,2,1,0,1
_-moloch-_,,,2029.166667,2000,1,4,2,6
Shouldbeworking,,,2052.333333,2040,1,2,1,3
narkohat,,,2036.5,2000,2,1,1,2
darewing,,,2007.75,2000,2,1,3,4
lasker2,,,2101.235294,2080,1,8,9,17
Giftzwerg,,,2072,2040,1,1,0,1
Chiribim,,,2103.666667,2080,1,1,2,3
Delgeriatrico,,,2025.923077,2000,1,4,7,11
azaharia,,,2008,2000,1,2,1,3
BOZ969,,,2197,2160,1,1,0,1
TT-68,,,2084.357143,2080,1,9,5,14
yhtushko,,,2008,2000,1,2,1,3
payman7,,,2022.107143,2000,1,16,12,28
pingogigante,,,2107.636364,2080,0,4,7,11
duzi1964,,,2067.458333,2040,1,3,3,6
gogf88,,,2001,2000,1,1,0,1
Maria_K,,,2101.95082,2080,1,32,29,61
mich_5,,,2088,2080,1,1,0,1
pulkownik0,,,2087.333333,2080,1,4,5,9
ttee,,,2416,2400,0,1,0,1
lifeislive,,,2125.5,2120,2,2,0,2
babi123,,,2528,2520,1,0,1,1
LRJ,,,2051,2040,1,0,1,1
nilocairo,,,2006,2000,1,0,1,1
Neologic,,,2231.666667,2200,1,2,1,3
leo0021,,,2003,2000,1,1,1,2
vadikass,,,2014.5,2000,1,2,2,4
GMstrange,,,2078,2040,2,1,1,2
accelix,,,2008.333333,2000,1,2,1,3
ramires84,,,2174,2160,1,1,0,1
